 V0_LATITUDE,V0_LONGITUDE, V1_LATITUDE,V1_LONGITUDE, V2_LATITUDE,V2_LONGITUDE, V3_LATITUDE,V3_LONGITUDE,FE_WT,TI_WT,CA_WT,SI_WT,AL_WT,MG_WT,NA_WT,O_WT,chi2
58.9752,20.5085,53.2937,20.3839,53.0563,21.6795,58.7203,22.0242,1.334650177,19.25182248,15.39145757,7.977423582,5.000012643,3.988153648,2.056479897,45,1.795548
59.3833,20.4829,53.7019,20.3585,53.4634,21.6678,59.1274,22.0181,2.271179949,2.827932389,19.99998558,14.37021358,6.984481095,5.813660464,2.732546944,45,1.821269
59.7915,20.4564,54.1101,20.3325,53.8706,21.6559,59.5346,22.0119,2.293699085,19.99799266,11.71520987,9.387652758,5.046705388,4.457404352,2.101335884,45,1.758351
60.1996,20.4294,54.5182,20.3059,54.2777,21.6437,59.9417,22.0056,1.94018986,0.848683773,19.99996747,15.70966701,7.888272029,5.928719653,2.684500212,45,1.639556
60.6075,20.4018,54.9261,20.2792,54.6845,21.6318,60.3487,21.9993,2.015353775,17.40246223,15.32863346,9.282366355,5.148110591,4.004961187,1.818112398,45,1.65349
61.0155,20.3731,55.3341,20.2516,55.0915,21.6194,60.7557,21.9927,1.85190065,19.78417494,13.05474244,9.281787752,5.222837374,3.730453739,2.074103103,45,1.656268
61.4233,20.344,55.7418,20.2237,55.4982,21.6071,61.1626,21.9863,1.39106653,16.41148751,13.05175164,11.56328503,6.163463194,4.355687283,2.063258813,45,1.607138
61.8311,20.3141,56.1497,20.195,55.905,21.5943,61.5695,21.9796,1.105134194,12.74988452,13.05383752,13.70782332,7.070666048,4.794105912,2.518548488,45,1.410373
62.6465,20.2515,56.9649,20.1358,56.7184,21.5683,62.3832,21.966,1.000187532,18.25075332,7.802239285,13.57751636,7.165662333,5.019153527,2.18448764,45,1.433399
63.0541,20.2189,57.3725,20.1052,57.125,21.555,62.79,21.959,1.113644304,1.07E-06,9.920802504,22.94009871,11.96367746,6.71810598,2.343669976,45,1.351143
63.4616,20.1854,57.78,20.0737,57.5316,21.5412,63.1967,21.9519,1.125947856,1.00E-06,10.73445769,21.72767581,11.93069638,6.754937321,2.726283938,45,1.285687
63.8691,20.1511,58.1874,20.0417,57.9381,21.5274,63.6033,21.9448,1.118691717,19.40434214,5.000529137,13.81400061,8.035520843,5.090964285,2.535951264,45,1.145027
64.2764,20.1156,58.5947,20.009,58.3445,21.5135,64.0099,21.9376,1.001353275,1.364479082,5.000592147,23.98835795,13.35742011,6.986812795,3.300984636,45,1.107707
64.6837,20.0792,59.002,19.9754,58.751,21.4991,64.4164,21.9303,1.802748656,19.6794958,6.143933371,13.28902625,7.083217583,4.343400298,2.658178043,45,1.065565
65.091,20.0415,59.4092,19.941,59.1573,21.4845,64.8229,21.9227,1.143565534,0.224276278,19.99998024,16.40245774,8.021849463,4.972201317,4.235669428,45,1.154394
65.4981,20.0027,59.8163,19.9059,59.5635,21.4697,65.2294,21.915,1.43455676,17.9192455,16.38973275,8.290811536,5.000001245,3.281965489,2.68368672,45,1.288954
65.9052,19.9627,60.2234,19.8696,59.9698,21.4544,65.6358,21.9073,1.26899191,14.01982253,19.29360658,9.134850938,5.000002039,3.546979433,2.735746567,45,1.533106
66.3123,19.9213,60.6303,19.8327,60.376,21.4391,66.0421,21.8993,1.340780587,17.96917692,16.18416075,8.46331764,5.000000072,3.328302111,2.714261915,45,1.565818
66.7192,19.8786,61.0372,19.7947,60.7821,21.4233,66.4484,21.8912,1.751068872,15.28906913,19.68518925,7.451142477,5.000001057,3.231446486,2.592082732,45,1.697081
67.1261,19.8342,61.4441,19.7556,61.1882,21.4071,66.8547,21.8826,1.6844859,14.02938299,19.55164353,8.084514088,5.000000017,2.994341978,3.655631497,45,1.831373
67.5329,19.7887,61.8508,19.7156,61.5943,21.3907,67.2609,21.8744,2.510947969,12.73793184,19.99999942,7.897976041,5.000476681,2.701669667,4.150998382,45,1.997464
67.9396,19.7417,62.2575,19.6745,62.0003,21.3738,67.667,21.8659,2.441120531,2.047412465,19.99981813,15.19163211,6.379833757,3.940264325,4.999918682,45,2.226048
68.3463,19.6926,62.6641,19.6322,62.4062,21.3565,68.0731,21.8569,1.00000613,15.21329367,19.64632295,7.353370857,5.000016489,2.52996196,4.257027951,45,2.487842
